book_key,subject,q_index,question,answer
physics_common_science,physics,1,"What are molecules, and how do scientists know about them despite lacking a powerful enough microscope to see them?","Molecules are tiny moving specks that make up everything in the world. Scientists know about them by devising elaborate and accurate experiments to test theories, such as observing how objects expand when heated because molecules move faster and farther apart."
physics_common_science,physics,2,How does a thermometer work to indicate temperature changes?,"The mercury in the thermometer's bulb expands (swells) when it becomes warm. Because it is tightly enclosed by glass except for a small opening into a tube, the expanding mercury must move up into the tube, causing it to rise and show the temperature."
physics_common_science,physics,3,Explain the molecular reason why heat causes objects to expand.,"When an object is heated, its molecules move faster and faster. As they move faster, they separate farther and farther apart from each other, which naturally causes the object to swell or expand."
physics_common_science,physics,4,What is the definition of heat according to the provided information?,Heat is the motion of the molecules.
physics_common_science,physics,5,"Describe the process by which an object can cool down through expansion, even without an outside source of cold.","If a thing expands without being heated from an outside source, it actually gets cold because it has to push air or something else aside, and it uses up the energy of its own heat to do this."
physics_common_science,physics,6,"What does the term ""cold"" signify in a physical sense?",Cold means the absence of heat.
physics_common_science,physics,7,"Why are high mountain tops typically covered in snow year-round, even on hot summer days?","Air is a gas that expands when it rises to where there is less air pressure crowding down on it. As air rises high and expands, it gets very cold. Consequently, mountains that reach into this high, cold air are snow covered all year round."
physics_common_science,physics,8,How does the molecular behavior of a substance change when it melts from a solid to a liquid?,"In a solid, molecules vibrate back and forth in a fixed path. As a substance is heated and melts, the molecules move faster and faster, begin to bump into each other, and go around every which way, causing the substance to lose its shape and become a liquid."
physics_common_science,physics,9,"What unique property does water possess when it freezes, and why is this property important for aquatic environments?","Water expands when it freezes. This is very lucky for us because it means ice weighs less than water and floats, preventing lakes, oceans, and rivers from freezing solid from the bottom up in winter."
physics_common_science,physics,10,Explain why water pipes are prone to bursting in very cold winter weather.,"Water expands when it freezes. In very cold winter weather, water inside pipes can freeze, and its expansion can exert sufficient pressure to burst the pipes."
physics_common_science,physics,11,"What is evaporation, and what happens to the temperature of a liquid as it evaporates?","Evaporation is the process where some molecules from a liquid are shot off from the rest into the air, turning the liquid into invisible vapor and causing it to disappear. Since it takes heat to send these molecules flying off, the liquid that is left behind becomes colder."
physics_common_science,physics,12,Why does a person feel cold after leaving a bathtub until they are dry?,"The water that evaporates from a person's body uses up a good deal of their body heat, causing them to feel cold until dry."
physics_common_science,physics,13,"Why is the ocean salty, even though rivers that flow into it contain very little salt?","As water from rains seeps through soil and rocks, it dissolves salt and continually carries some of it into rivers, which flow to the sea. The water in the ocean then evaporates and leaves the salt behind, accumulating over millions of years to make the ocean salty."
physics_common_science,physics,14,Describe the molecular action that occurs when water boils and turns into steam.,"When water is made very hot, its molecules smash into each other and bound about madly. Suddenly, large numbers of them go shooting off from the rest like rifle bullets, flying out through the air as steam."
physics_common_science,physics,15,How much space does steam occupy compared to the water it originates from?,Steam takes a great deal more room than water does—many times as much room.
physics_common_science,physics,16,Explain the principle behind how a steam engine works.,"A steam engine works because steam takes so much more room than the water from which it is made. A fire is built under a boiler to boil water and produce steam, which is then shut in. The expanding steam pushes a piston, which is attached to machinery, causing movement."
physics_common_science,physics,17,"If water is already boiling vigorously on a hot stove, what effect does turning up the heat further have on its temperature and the rate of steam production?","Once water is boiling, turning up the gas further will not make the water appreciably hotter; it cannot raise the water's temperature beyond its boiling point. However, a very hot fire will make the water boil away more rapidly and produce more steam."
physics_common_science,physics,18,"What is distillation, and how is it used to separate substances?","Distillation is a process where liquids mixed together are separated by boiling them and collecting their vapor. It works because different substances boil at different temperatures, allowing them to be vaporized and condensed separately."
physics_common_science,physics,19,How does reduced air pressure affect the boiling point of water?,Water will boil at a lower temperature when there is less air pressure on its surface.
